Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
74,Marty Conlon\conloma01,C,26,WSB,14,201,11.8,0.5589999999999999,0.018000000000000002,0.268,10.9,18.4,14.5,4.5,1.0,0.3,13.8,15.5,,0.3,0.1,0.3,0.073,,-1.8,-2.7,-4.5,-0.1,East
75,Lester Conner\connele01,PG,34,IND,11,169,12.0,0.381,0.079,0.158,7.1,9.2,8.2,25.5,4.3,0.4,18.1,12.9,,0.0,0.3,0.3,0.075,,-1.5,2.2,0.7,0.1,East
76,Anthony Cook\cookan01,PF,26,TOT,25,203,11.3,0.47700000000000004,0.019,0.46299999999999997,10.7,21.6,15.8,3.1,0.8,4.6,15.6,16.4,,-0.1,0.2,0.1,0.02,,-5.9,-0.9,-6.7,-0.2,NaN
76,Anthony Cook\cookan01,PF,26,ORL,2,2,-7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9,50.0,42.7,,0.0,0.0,0.0,-0.9490000000000001,,-43.1,30.5,-12.6,0.0,East
76,Anthony Cook\cookan01,PF,26,MIL,23,201,11.5,0.484,0.019,0.47200000000000003,10.8,21.8,16.0,3.1,0.8,4.0,14.7,16.1,,0.0,0.2,0.1,0.028999999999999998,,-5.5,-1.2,-6.7,-0.2,East
77,Duane Cooper\coopedu01,PG,24,PHO,23,136,7.9,0.504,0.171,0.366,1.7,5.7,3.7,27.9,1.1,0.0,29.6,20.8,,-0.2,0.0,-0.1,-0.038,,-5.1,-4.4,-9.5,-0.3,West
78,Tyrone Corbin\corbity01,SF,31,UTA,82,2149,11.8,0.506,0.049,0.245,8.2,12.7,10.4,8.3,2.4,0.8,12.4,15.3,,1.6,2.8,4.4,0.099,,-0.6,2.0,1.4,1.8,West
79,Chris Corchiani\corchch01,PG,25,BOS,51,467,10.4,0.528,0.40399999999999997,0.40399999999999997,1.9,8.7,5.3,24.5,2.4,0.3,25.6,13.8,,0.1,0.3,0.4,0.038,,-2.1,-1.4,-3.5,-0.2,East
80,Joe Courtney\courtjo01,PF,24,TOT,52,345,13.4,0.498,0.02,0.318,9.0,9.5,9.2,6.9,1.5,2.3,11.1,23.4,,0.2,0.2,0.4,0.054000000000000006,,-2.8,-2.5,-5.3,-0.3,NaN
80,Joe Courtney\courtjo01,PF,24,PHO,33,168,17.9,0.5589999999999999,0.0,0.41,9.5,8.6,9.0,8.5,0.9,2.2,9.8,25.5,,0.4,0.1,0.5,0.142,,0.0,-3.2,-3.2,-0.1,West
